plane,y_world,y_px,coverage,score,source
XY,-0.20464566162592773,3.0,1.0,0.527237594127655,xy
XY,0.07868914795688489,499.0,0.5009765625,0.1217030447369325,xy
XY,0.16437507827426776,649.0,0.53955078125,0.12321085957955802,xy
XY,0.17065871316420916,660.0,0.3623046875,0.11008148183464073,xy
YZ,-0.20464566162592773,3.0,0.97314453125,0.5661688747932203,yz
YZ,-0.13609691737202145,123.0,0.298828125,0.05865589006134542,yz
YZ,0.1666600364160646,653.0,0.33203125,0.08096517145168036,yz
